rand_1	1.393285	-0.512252	-0.503386	1.507916	1.365936	2.809489	1.819792	-0.311400	-0.559227
rand_2	0.505851	-0.072766	-2.091108	-0.137115	1.180641	-1.430786	-0.449375	0.879166	-0.278981
rand_3	-1.157588	0.462668	0.792861	0.268684	-0.046759	-0.271384	-1.509317	0.085776	1.121651
rand_4	0.344750	0.321588	-0.722882	0.383418	0.047216	-0.468450	0.230868	-1.751305	-1.517219
rand_5	1.505255	-0.723886	0.407015	-0.196624	-1.585443	1.126090	-0.110502	-1.121065	1.299176
rand_6	-0.590448	-1.355901	1.480896	-0.446135	1.707184	0.057382	0.827200	-0.844951	1.231976
rand_7	-1.625363	0.982792	-0.215856	1.273912	-0.002644	1.098062	0.413942	1.067569	-0.504801
rand_8	-1.603574	1.025456	1.269514	-0.329365	0.997695	0.682039	-1.803275	0.441650	-0.702236
rand_9	-2.363348	0.196686	-0.054040	-0.193606	-0.207413	-0.249403	-0.563828	-0.761618	1.252047
rand_10	0.282145	-0.537965	-0.067299	0.741717	1.368259	0.338193	0.661143	-0.912202	1.206632
rand_11	1.052619	-0.665491	1.944451	0.696230	-0.538209	-0.530655	-1.723005	0.120200	-0.185299
rand_12	0.777574	-2.127697	-1.288771	1.586409	-0.562829	0.396065	0.307395	-2.259240	-1.287445
rand_13	0.359887	0.228079	0.046110	0.385234	-1.002788	0.578838	-1.416687	-0.803422	2.434933
rand_14	2.023367	-1.013703	1.182332	1.089915	0.141230	-0.599116	0.023924	1.059398	0.308664
rand_15	-0.152121	0.073359	0.364402	1.017749	1.780077	-0.452847	-0.300039	2.868694	-0.811184
rand_16	1.888517	0.303491	-0.637061	1.645570	0.581877	1.241477	-0.463168	0.380220	-0.338024
rand_17	0.707939	-2.664592	-0.593939	-0.448449	0.816924	1.357213	-0.251127	0.256514	0.074155
rand_18	0.229397	-0.676125	-1.073556	0.425872	-1.234491	-2.079307	-0.645433	-1.557292	1.999883
rand_19	-0.700059	-2.442167	-0.734441	0.103122	1.846962	0.376303	1.761427	0.989719	-0.967182
rand_20	-0.175482	1.306672	-0.829812	0.590813	1.419048	0.201854	-1.176475	-0.116490	0.854624
rand_21	0.883079	-1.136921	1.180446	0.754613	-1.452690	-0.478039	1.292326	0.450606	-1.647798
rand_22	-0.949229	0.482131	0.054922	-1.374686	0.666546	-0.086686	1.358211	1.155893	0.298905
rand_23	2.209623	-1.107802	-2.034183	0.267737	-0.430610	-0.680480	-1.315090	-1.061775	0.608307
rand_24	0.348720	0.901097	-0.223438	1.944145	-0.874287	0.218350	0.269171	-0.373408	1.364855
rand_25	0.336093	1.635209	-0.928794	-1.587145	0.593208	-0.038111	0.349075	-0.385337	-0.388547
rand_26	1.277895	0.109536	-0.814631	0.056706	-1.445868	0.433929	-0.009974	0.898894	0.217252
rand_27	-1.432113	0.592565	-0.568198	-0.334595	1.142583	-1.687213	-0.419497	1.434231	0.126726
rand_28	-0.568327	0.393097	1.120397	1.264808	-0.319743	0.032763	-1.037939	-1.762768	-1.957324
